Strategy,gromacs,sjeng,perlbench,libquantum,omnetpp,bwaves,gcc,gamess,gobmk,h264ref,cactusADM,zeusmp,namd,calculix,povray,wrf,tonto,leslie3d,bzip2
lru,9%,27%,90%,27%,75%,26%,33%,0%,56%,61%,22%,30%,0%,61%,0%,28%,94%,34%,82%
srrip,9%,27%,90%,19%,78%,26%,27%,0%,56%,56%,25%,29%,0%,61%,0%,28%,94%,32%,79%
drrip,9%,27%,89%,27%,80%,25%,32%,0%,55%,61%,23%,30%,0%,61%,0%,28%,94%,34%,81%
ship,10%,27%,90%,3%,81%,26%,4%,0%,57%,60%,12%,16%,0%,61%,0%,28%,94%,19%,82%
hawkeye,9%,27%,90%,5%,81%,26%,13%,0%,56%,57%,21%,15%,0%,61%,0%,28%,94%,19%,81%
chickeye,9%,27%,90%,5%,80%,26%,14%,0%,56%,57%,21%,16%,0%,61%,0%,28%,94%,19%,81%
